BillDate,InvoiceNo,StockCode,Description,Quantity,UnitPrice,Total
2/4/17,CC83  ,3815,ARYA FOXTAIL MILLET 1KG  ,1.00,140.00,140.00
2/4/17,CC83  ,3816,ARYA KODO MILLET 1KG  ,1.00,122.00,122.00
2/4/17,CC83  ,3817,ARYA LITTLE MILLET 1KG  ,1.00,150.00,150.00
2/4/17,CC83  ,3817,ARYA LITTLE MILLET 1KG  ,1.00,140.00,140.00
2/4/17,CC83  ,3818,ARYA PROSO MILLET 1KG  ,1.00,145.00,145.00
2/4/17,CC84  ,3823,ARYA COW GHEE 200ML  ,1.00,230.00,230.00
2/4/17,CC84  ,3812,HHF EGGS P  ,1.00,130.00,130.00
2/4/17,CC84  ,2080,SS METHI  ,1.00,32.00,32.00
2/4/17,CC84  ,2152,SS MOSAMBI  ,0.59,125.00,73.13
2/4/17,CC84  ,3124,TG Atta 1kg  ,1.00,59.00,59.00
2/4/17,CC84  ,3108,TG Sugar 500g  ,1.00,65.00,65.00
2/4/17,CC84  ,3323,TO POHA RED  ,1.00,60.00,60.00
2/4/17,CC85  ,3812,HHF EGGS P  ,1.00,130.00,130.00
2/4/17,CA86  ,2457,ARYA KODO MILLET  ,1.00,63.00,63.00
2/4/17,CA86  ,2103,SS BEANS  ,0.39,82.00,31.57
2/4/17,CA86  ,2598,SS CAPSICUM CLR  ,0.30,170.00,51.00
2/4/17,CA86  ,2127,SS KNOL KHOL  ,0.35,56.00,19.32
2/4/17,CA86  ,2122,SS ONION  ,0.44,48.00,20.88
2/4/17,CA86  ,2167,SS POMOGRANATE  ,0.39,200.00,78.00
2/4/17,CA86  ,2104,SS PUMPKIN  ,0.39,49.00,19.11
2/4/17,CA86  ,2111,SS TOMATO FRM  ,0.62,46.00,28.52
2/4/17,CA87  ,2692,24LM APPLE JUICE 200ML  ,1.00,35.00,35.00
2/4/17,CA87  ,3932,BNW HAIR WASH 100G  ,1.00,100.00,100.00
2/4/17,CA87  ,2580,RAD INDIGO LEAF POWDER  ,1.00,200.00,200.00
