PC_NAME,PARTY_ABB,VOTES_POLLED,POSITION
ALIPURDUARS,AITC,503380.0,1
ALIPURDUARS,CPM_INC,406254.0,2
ALIPURDUARS,BJP,301297.0,3
ALIPURDUARS,IND,36305.0,4
ALIPURDUARS,NOTA,30952.0,5
ALIPURDUARS,SUCI,10618.0,6
ALIPURDUARS,JMM,8936.0,7
ALIPURDUARS,ABGL,3855.0,8
ALIPURDUARS,BSP,3711.0,9
ALIPURDUARS,KPPU,1744.0,10
ALIPURDUARS,AMB,1341.0,11
ARAMBAG,AITC,748349.0,1
ARAMBAG,CPM_INC,510846.0,2
ARAMBAG,BJP,121875.0,3
ARAMBAG,NOTA,25710.0,4
ARAMBAG,IND,8836.0,5
ARAMBAG,SHS,4447.0,6
ARAMBAG,JDP,3647.0,7
ARAMBAG,SUCI,3299.0,8
ARAMBAG,IUC,782.0,9
ASANSOL,AITC,493313.0,1
ASANSOL,CPM_INC,390773.0,2
ASANSOL,BJP,252563.0,3
ASANSOL,NOTA,20694.0,4
ASANSOL,BMUP,9191.0,5
ASANSOL,SUCI,5241.0,6
ASANSOL,IND,4765.0,7
ASANSOL,SHS,3480.0,8
ASANSOL,BSP,2599.0,9
ASANSOL,JMM,1896.0,10
ASANSOL,JDP,1601.0,11
ASANSOL,ABHM,1268.0,12
BAHARAMPUR,CPM_INC,670608.0,1
BAHARAMPUR,AITC,300852.0,2
BAHARAMPUR,BJP,115922.0,3
BAHARAMPUR,IND,79470.0,4
BAHARAMPUR,NOTA,21323.0,5
BAHARAMPUR,SP,4925.0,6
BAHARAMPUR,IUML,4667.0,7
BAHARAMPUR,SUCI,4305.0,8
BAHARAMPUR,SDPI,1676.0,9
BAHARAMPUR,BSP,1374.0,10
BAHARAMPUR,AMB,1355.0,11
BAHARAMPUR,MPOI,531.0,12
BAHARAMPUR,CPI(ML)(L),344.0,13
BALURGHAT,AITC,486706.0,1
BALURGHAT,CPM_INC,479905.0,2
BALURGHAT,BJP,122727.0,3
BALURGHAT,NOTA,19692.0,4
BALURGHAT,BSP,10815.0,5
BALURGHAT,IND,4388.0,6
BALURGHAT,JDP,3480.0,7
BALURGHAT,SUCI,3467.0,8
BALURGHAT,KPPU,2020.0,9
BALURGHAT,JMM,1673.0,10
BALURGHAT,CPIM,1068.0,11
BALURGHAT,BMUP,1065.0,12
BALURGHAT,CPI(ML)(L),1045.0,13
BANGAON,AITC,655935.0,1
BANGAON,CPM_INC,519118.0,2
BANGAON,BJP,127807.0,3
BANGAON,BSP,14491.0,4
BANGAON,NOTA,13326.0,5
BANGAON,SHS,4265.0,6
BANGAON,SUCI,4202.0,7
BANGAON,IND,2887.0,8
BANGAON,PDS,2628.0,9
BANGAON,RPI(A),1788.0,10
BANGAON,AMB,1484.0,11
BANGAON,CPI(ML)(L),925.0,12
BANGAON,GMM,581.0,13
BANGAON,TRMRPPI,537.0,14
BANKURA,AITC,591613.0,1
BANKURA,CPM_INC,502690.0,2
BANKURA,BJP,118554.0,3
BANKURA,NOTA,33402.0,4
BANKURA,SUCI,16119.0,5
BANKURA,JMM,10499.0,6
BANKURA,IND,8424.0,7
BANKURA,BMUP,7557.0,8
BANKURA,BSP,6847.0,9
BANKURA,JHAP,3855.0,10
BANKURA,CPI(ML)(L),3735.0,11
BANKURA,JDP,2593.0,12
BANKURA,CPIM,1552.0,13
BARAKPUR,AITC,519619.0,1
BARAKPUR,CPM_INC,327550.0,2
BARAKPUR,BJP,147108.0,3
BARAKPUR,IND,43563.0,4
BARAKPUR,NOTA,16347.0,5
BARAKPUR,BSP,7317.0,6
BARAKPUR,SUCI,5019.0,7
BARAKPUR,PDS,2284.0,8
BARAKPUR,CPIM,1249.0,9
BARAKPUR,CPI(ML)(L),1191.0,10
BARASAT,AITC,663783.0,1
BARASAT,CPM_INC,491963.0,2
BARASAT,BJP,130767.0,3
BARASAT,NOTA,17692.0,4
BARASAT,BSP,16062.0,5
BARASAT,SUCI,5550.0,6
BARASAT,WPOI,5404.0,7
BARASAT,IND,4167.0,8
BARASAT,RPI(A),2062.0,9
BARASAT,SHS,2007.0,10
BARASAT,CPI(ML)(L),1262.0,11
BARASAT,LJP,694.0,12
BARDDHAMAN - DURGAPUR,AITC,605427.0,1
BARDDHAMAN - DURGAPUR,CPM_INC,600682.0,2
BARDDHAMAN - DURGAPUR,BJP,122919.0,3
BARDDHAMAN - DURGAPUR,NOTA,22834.0,4
BARDDHAMAN - DURGAPUR,IND,21974.0,5
BARDDHAMAN - DURGAPUR,BSP,9657.0,6
